,p_steam,Theta,CAH,N_s,alpha,bond
0,1137.646484375,21.435546875,47.1513671875,676758.1357421875,117834.8709765361,14.585253913063822
1,1437.353515625,21.435546875,47.1513671875,676758.1357421875,131503.88842800327,14.585253913063829
2,1137.646484375,159.228515625,47.1513671875,676758.1357421875,388644.4541813457,0.0483888407660283
3,1137.646484375,21.435546875,5.0849609375,676758.1357421875,169848.29278425785,1.613818839912497
4,1137.646484375,21.435546875,47.1513671875,899414.1630859375,118735.06858315624,14.585253913063822
5,1137.646484375,159.228515625,5.0849609375,899414.1630859375,601126.1224925785,0.005344310697148867
6,1437.353515625,21.435546875,5.0849609375,899414.1630859375,191122.62763315652,1.6138188399124969
7,1437.353515625,159.228515625,47.1513671875,899414.1630859375,428628.9964863815,0.0483888407660283
8,1437.353515625,159.228515625,5.0849609375,676758.1357421875,575348.5686823335,0.00534431069714887
9,1437.353515625,159.228515625,5.0849609375,899414.1630859375,618309.5834938609,0.00534431069714887
10,3612.646484375,106.435546875,2.6513671875,176758.6357421875,1082433.078546389,0.0287657646269357
11,3912.353515625,106.435546875,2.6513671875,176758.6357421875,1093287.778325088,0.0287657646269357
12,3612.646484375,74.228515625,2.6513671875,176758.6357421875,1100438.226866648,0.06793739855013844
13,3612.646484375,106.435546875,49.5849609375,176758.6357421875,668535.0017550146,0.5213824450021168
14,3612.646484375,106.435546875,2.6513671875,399414.6630859375,1317995.5070980059,0.0287657646269357
15,3612.646484375,74.228515625,49.5849609375,399414.6630859375,784701.810230399,1.2313723421760372
16,3912.353515625,106.435546875,49.5849609375,399414.6630859375,824389.3059641292,0.521382445002117
17,3912.353515625,74.228515625,2.6513671875,399414.6630859375,1296977.8400415545,0.06793739855013844
18,3912.353515625,74.228515625,49.5849609375,176758.6357421875,691317.3231502856,1.2313723421760372
19,3912.353515625,74.228515625,49.5849609375,399414.6630859375,800869.2706698922,1.2313723421760372
20,4850.146484375,63.935546875,69.4013671875,926757.8857421875,818320.0629055221,2.288724823609379
21,2674.853515625,63.935546875,69.4013671875,926757.8857421875,674263.5362382282,2.2887248236093805
22,4850.146484375,31.728515625,69.4013671875,926757.8857421875,371736.71513627394,9.467028205553818
23,4850.146484375,63.935546875,27.3349609375,926757.8857421875,947361.5883537722,0.9499478843903818
24,4850.146484375,63.935546875,69.4013671875,149414.9130859375,621106.287338025,2.288724823609379
25,4850.146484375,31.728515625,27.3349609375,149414.9130859375,374966.2915233059,3.9205347734826703
26,2674.853515625,63.935546875,27.3349609375,149414.9130859375,621456.6597749944,0.9499478843903822
27,2674.853515625,31.728515625,69.4013671875,149414.9130859375,260243.25298187716,9.467028205553822
28,2674.853515625,31.728515625,27.3349609375,926757.8857421875,337759.3189619227,3.9205347734826708
29,2674.853515625,31.728515625,27.3349609375,149414.9130859375,301363.6274040956,3.9205347734826708
30,2375.146484375,148.935546875,24.9013671875,426758.3857421875,535290.4648088872,0.055634925741129757
31,199.853515625,148.935546875,24.9013671875,426758.3857421875,339058.0303162986,0.055634925741129784
32,2375.146484375,116.728515625,24.9013671875,426758.3857421875,812811.2015281618,0.20161959927649634
33,2375.146484375,148.935546875,71.8349609375,426758.3857421875,452710.50794566097,0.1522723486099888
34,2375.146484375,148.935546875,24.9013671875,649414.4130859375,598047.1549398517,0.055634925741129757
35,2375.146484375,116.728515625,71.8349609375,649414.4130859375,749952.9536914689,0.5485826482357566
36,199.853515625,148.935546875,71.8349609375,649414.4130859375,305724.35460633814,0.1522723486099889
37,199.853515625,116.728515625,24.9013671875,649414.4130859375,414496.63528722996,0.20161959927649642
38,199.853515625,116.728515625,71.8349609375,426758.3857421875,337403.76385429513,0.5485826482357566
39,199.853515625,116.728515625,71.8349609375,649414.4130859375,350924.37923154264,0.5485826482357566
40,1756.396484375,85.185546875,13.7763671875,301758.5107421875,811115.1459614447,0.26010920126793957
41,818.603515625,85.185546875,13.7763671875,301758.5107421875,639131.3202767527,0.2601092012679395
42,1756.396484375,137.978515625,13.7763671875,301758.5107421875,633498.6832986827,0.05375716309029771
43,1756.396484375,85.185546875,38.4599609375,301758.5107421875,685601.402915279,0.7143189054800579
44,1756.396484375,85.185546875,13.7763671875,24415.0380859375,482709.10194511496,0.26010920126793957
45,1756.396484375,137.978515625,38.4599609375,24415.0380859375,256956.1716775844,0.1476293714839356
46,818.603515625,85.185546875,38.4599609375,24415.0380859375,355048.2052775632,0.7143189054800577
47,818.603515625,137.978515625,13.7763671875,24415.0380859375,287280.3100366466,0.053757163090297704
48,818.603515625,137.978515625,38.4599609375,301758.5107421875,474997.32303076587,0.14762937148393557
49,818.603515625,137.978515625,38.4599609375,24415.0380859375,242918.33830612307,0.14762937148393557
50,4231.396484375,170.185546875,58.2763671875,801758.0107421875,248801.8936951252,0.01809815957445857
51,3293.603515625,170.185546875,58.2763671875,801758.0107421875,246694.7198292943,0.018098159574458567
52,4231.396484375,52.978515625,58.2763671875,801758.0107421875,665613.4317104712,2.878033211583441
53,4231.396484375,170.185546875,82.9599609375,801758.0107421875,228111.32419130823,0.030499355144596053
54,4231.396484375,170.185546875,58.2763671875,524414.5380859375,219107.11279015834,0.01809815957445857
55,4231.396484375,52.978515625,82.9599609375,524414.5380859375,606592.223733346,3.915014192710211
56,3293.603515625,170.185546875,82.9599609375,524414.5380859375,199359.64904102928,0.030499355144596042
