,p_steam,Theta,CAH,k_coat,delta_coat,N_s,alpha,bond
0,1137.646484375,21.435546875,47.1513671875,6.832226562500001,1.4085644531250001e-05,907226.6552734375,11800.450893477147,14.585253913063822
1,277.197265625,21.435546875,47.1513671875,6.832226562500001,1.4085644531250001e-05,907226.6552734375,11132.950049310808,14.585253913063827
2,1137.646484375,157.900390625,47.1513671875,6.832226562500001,1.4085644531250001e-05,907226.6552734375,15546.759502267365,0.05433305595241521
3,1137.646484375,21.435546875,45.5869140625,6.832226562500001,1.4085644531250001e-05,907226.6552734375,11864.516575571479,14.107953167377149
4,1137.646484375,21.435546875,47.1513671875,0.8794921875000001,1.4085644531250001e-05,907226.6552734375,3026.9229189768694,14.585253913063822
5,1137.646484375,21.435546875,47.1513671875,6.832226562500001,4.33955078125e-06,907226.6552734375,24497.829307420427,14.585253913063822
6,1137.646484375,21.435546875,47.1513671875,6.832226562500001,1.4085644531250001e-05,254883.5576171875,11676.281272998314,14.585253913063822
7,1137.646484375,157.900390625,45.5869140625,0.8794921875000001,4.33955078125e-06,254883.5576171875,8676.294780694132,0.052583473884241644
8,277.197265625,21.435546875,45.5869140625,0.8794921875000001,4.33955078125e-06,254883.5576171875,6412.902998930709,14.107953167377145
9,277.197265625,157.900390625,47.1513671875,0.8794921875000001,4.33955078125e-06,254883.5576171875,8423.82978200279,0.05433305595241519
10,277.197265625,157.900390625,45.5869140625,6.832226562500001,4.33955078125e-06,254883.5576171875,30867.848972676537,0.05258347388424165
11,277.197265625,157.900390625,45.5869140625,0.8794921875000001,1.4085644531250001e-05,254883.5576171875,3825.0523454896434,0.05258347388424165
12,277.197265625,157.900390625,45.5869140625,0.8794921875000001,4.33955078125e-06,907226.6552734375,8610.716250760834,0.05258347388424165
13,277.197265625,157.900390625,45.5869140625,0.8794921875000001,4.33955078125e-06,254883.5576171875,8466.710164043638,0.05258347388424165
14,3612.646484375,106.435546875,2.6513671875,1.9322265625000001,3.903564453125e-05,407227.1552734375,20399.771088063288,0.0287657646269357
15,2752.197265625,106.435546875,2.6513671875,1.9322265625000001,3.903564453125e-05,407227.1552734375,20319.10549832172,0.02876576462693569
16,3612.646484375,72.900390625,2.6513671875,1.9322265625000001,3.903564453125e-05,407227.1552734375,20029.13510894103,0.07061090507687408
17,3612.646484375,106.435546875,1.0869140625,1.9322265625000001,3.903564453125e-05,407227.1552734375,23025.560702458763,0.011793249624053826
18,3612.646484375,106.435546875,2.6513671875,5.779492187500001,3.903564453125e-05,407227.1552734375,42906.11130703056,0.0287657646269357
19,3612.646484375,106.435546875,2.6513671875,1.9322265625000001,2.928955078125e-05,407227.1552734375,24888.18612836638,0.0287657646269357
20,3612.646484375,106.435546875,2.6513671875,1.9322265625000001,3.903564453125e-05,754883.0576171875,20518.405937610274,0.0287657646269357
21,3612.646484375,72.900390625,1.0869140625,5.779492187500001,2.928955078125e-05,754883.0576171875,58961.49181638768,0.028948718747847622
22,2752.197265625,106.435546875,1.0869140625,5.779492187500001,2.928955078125e-05,754883.0576171875,59721.141424865025,0.011793249624053821
23,2752.197265625,72.900390625,2.6513671875,5.779492187500001,2.928955078125e-05,754883.0576171875,51126.29027188842,0.07061090507687408
24,2752.197265625,72.900390625,1.0869140625,1.9322265625000001,2.928955078125e-05,754883.0576171875,27784.802038279893,0.02894871874784762
25,2752.197265625,72.900390625,1.0869140625,5.779492187500001,3.903564453125e-05,754883.0576171875,48424.4063497418,0.02894871874784762
26,2752.197265625,72.900390625,1.0869140625,5.779492187500001,2.928955078125e-05,407227.1552734375,58219.838702495275,0.02894871874784762
27,2752.197265625,72.900390625,1.0869140625,5.779492187500001,2.928955078125e-05,754883.0576171875,58685.84408389047,0.02894871874784762
28,4850.146484375,63.935546875,69.4013671875,9.2822265625,2.656064453125e-05,157227.4052734375,39300.83965994,2.288724823609379
29,1514.697265625,63.935546875,69.4013671875,9.2822265625,2.656064453125e-05,157227.4052734375,38372.26736174905,2.2887248236093796
30,4850.146484375,30.400390625,69.4013671875,9.2822265625,2.656064453125e-05,157227.4052734375,15613.569638601126,10.340998882568522
31,4850.146484375,63.935546875,23.3369140625,9.2822265625,2.656064453125e-05,157227.4052734375,46546.99560083484,0.8131022154081134
32,4850.146484375,63.935546875,69.4013671875,8.2294921875,2.656064453125e-05,157227.4052734375,36428.929786598914,2.288724823609379
33,4850.146484375,63.935546875,69.4013671875,9.2822265625,4.1764550781250003e-05,157227.4052734375,29501.531139830437,2.288724823609379
34,4850.146484375,63.935546875,69.4013671875,9.2822265625,2.656064453125e-05,504883.3076171875,40116.92104141635,2.288724823609379
35,4850.146484375,30.400390625,23.3369140625,8.2294921875,4.1764550781250003e-05,504883.3076171875,12844.210260756874,3.6559241982494206
36,1514.697265625,63.935546875,23.3369140625,8.2294921875,4.1764550781250003e-05,504883.3076171875,32149.783480612612,0.8131022154081137
37,1514.697265625,30.400390625,69.4013671875,8.2294921875,4.1764550781250003e-05,504883.3076171875,10630.025584359379,10.340998882568519
38,1514.697265625,30.400390625,23.3369140625,9.2822265625,4.1764550781250003e-05,504883.3076171875,13596.3067065166,3.655924198249421
